CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
Diuron,330-54-1,Aug-22-1988,"(PDF 7 pp, 90 K)",Not Available,Yes,Hematologic,None,pesticide,,Oral,Hematologic,2 x 10 -3,Abnormal pigments in blood,NOEL: 6.25 x 10-1 mg/kg-day,300,Low,,,,,,,,,,,
Dodine,2439-10-3,Sep-30-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,Endocrine,None,pesticide,archive,Oral,Endocrine,4 x 10 -3,Thyroid toxicity,NOEL: 1.25 mg/kg-day,300,Low,,,,,,,,,,,
Endosulfan,115-29-7,Oct-01-1994,"(PDF 15 pp, 122 K)",Not Available,Yes,Cardiovascular; Urinary,None,pesticide,,Oral,Urinary; Cardiovascular; Other,6 x 10 -3,Reduced body weight gain in males and females increased incidence of marked progressive glomerulonephrosis and blood vessel aneurysms in males,NOAEL: 6 x 10-1 mg/kg-day,100,Medium,,,,,,,,,,,
Endothall,145-73-3,Mar-31-1987,"(PDF 7 pp, 90 K)",Not Available,Yes,Gastrointestinal,None,pesticide,,Oral,Gastrointestinal,2 x 10 -2,Increased absolute and relative weights of stomach and small intestine,NOEL: 2 mg/kg-day,100,Medium,,,,,,,,,,,
Endrin,72-20-8,Oct-01-1989,"(PDF 11 pp, 108 K)",Not Available,Yes,Hepatic; Nervous,None,pesticide,,Oral,Nervous; Hepatic,3 x 10 -4,Mild histological lesions in liver; occasional convulsions,NOEL: 2.5 x 10-2 mg/kg-day,100,Medium,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Oral administration of endrin did not produce carcinogenic effects in either sex of two strains of rats and three strains of mice. An NCI bioassay was suggestive of responses in male and female rats although NCI reported a no evidence conclusion. The inadequacies of several of the bioassays call into question the strength of the reported negative findings. These inadequacies and the suggestive responses in the NCI bioassay do not support a Group E classification; rather a Group D classification best reflects the equivocal data. This may be a synopsis of the full weight-of-evidence narrative.,,
Epichlorohydrin,106-89-8,Apr-01-1992,"(PDF 24 pp, 167 K)",Not Available,Yes,Respiratory,Gastrointestinal; Respiratory,,,Inhalation,,,,,,,Respiratory,1 x 10 -3,Changes in the nasal turbinates,NOAEL (HEC): 3.6 x 10-1 mg/m3,300,Medium,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Human data are inadequate. Multiple studies in rats and mice administered epichlorohydrin by various routes were positive. As epichlorohydrin is a strong alkylating agent, tumors are produced at the site of application. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 9.9 x 10-3 per mg/kg-day
Drinking Water Unit Risk: 2.8 x 10-7 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Gastrointestinal
Tumor type(s): Papillomas and carcinomas of the forestomach (Konishi et al., 1980)","Inhalation Unit Risk: 1.2 x 10-6 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Respiratory
Tumor type(s): Nasal cavity tumors (Laskin et al., 1980)"
"1,2-Epoxybutane (EBU)",106-88-7,May-01-1992,"(PDF 13 pp, 121 K)",Not Available,Yes,Respiratory,None,,,Inhalation,,,,,,,Respiratory,2 x 10 -2,Degenerative lesions of the nasal cavity,LOAEL (HEC): 4.8 mg/m3,300,Medium,,,,,
Ethephon,16672-87-0,Aug-22-1988,"(PDF 8 pp, 91 K)",Not Available,Yes,Nervous,None,pesticide,,Oral,Nervous,5 x 10 -3,Plasma ChE inhibition,LEL: 5 x 10-1 mg/kg-day,100,Low,,,,,,,,,,,
Ethion,563-12-2,Sep-01-1989,"(PDF 9 pp, 96 K)",Not Available,No,Nervous,None,pesticide,,Oral,Nervous,5 x 10 -4,Plasma cholinesterase inhibition,NOEL: 5 x 10-2 mg/kg-day,100,Medium,,,,,,,,,,,
2-Ethoxyethanol,110-80-5,May-01-1991,"(PDF 11 pp, 113 K)",Not Available,Yes,Hematologic; Reproductive,None,,,Inhalation,,,,,,,Reproductive; Hematologic,2 x 10 -1,Decreased testis weight; seminiferous tubule degeneration and decreased hemoglobin,NOAEL (HEC): 6.8 x 101 mg/m3,300,Medium,,,,,
Ethyl acetate,141-78-6,Mar-01-1987,"(PDF 6 pp, 87 K)",Not Available,Yes,None,None,,,Oral,Other,9 x 10 -1,Mortality and body weight loss,NOEL: 9.00 x 102 mg/kg-day,1000,Low,,,,,,,,,,,
Ethyl carbamate,51-79-6,Apr-01-1992,"(PDF 4 pp, 83 K)",Not Available,Yes,None,None,,archive,,,,,,,,,,,,,,,,,,
Ethyl chloride,75-00-3,Apr-01-1991,"(PDF 12 pp, 121 K)",Not Available,No,Developmental; Musculoskeletal,None,,,Inhalation,,,,,,,Developmental; Musculoskeletal,1 x 10 1,Delayed fetal ossification,NOAEL (HEC): 4.000 x 103 mg/m3,300,Medium,,,,,
S-Ethyl dipropylthiocarbamate (EPTC),759-94-4,Sep-30-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,Cardiovascular,None,pesticide,archive,Oral,Cardiovascular,2.5 x 10 -2,Degenerative cardiomyopathy,NOEL: 2.5 mg/kg-day,100,Medium,,,,,,,,,,,
Ethyl ether,60-29-7,Sep-01-1990,"(PDF 7 pp, 89 K)",Not Available,Yes,None,None,,,Oral,Other,2 x 10 -1,Depressed body weights,NOAEL: 5.00 x 102 mg/kg-day,3000,Low,,,,,,,,,,,
Ethyl p-nitrophenyl phenylphosphorothioate (EPN),2104-64-5,Sep-30-1987,"(PDF 7 pp, 90 K)",Not Available,Yes,Nervous,None,,,Oral,Nervous,1 x 10 -5,Neurotoxicity,NOEL: 1 x 10-2 mg/kg-day,1000,Medium,,,,,,,,,,,
Ethyl Tertiary Butyl Ether (ETBE),637-92-3,,"(PDF None pp, None)",Not Available,No,None,None,,,Oral,Urinary,1,Increased absolute kidney weight in female rats,BMDL 10 (HED): 2.88 x 101 mg/kg-day,30,High,,,,,,,Suggestive evidence of carcinogenic potential (Inhalation route),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), ethyl tertiary butyl ether has “suggestive evidence of carcinogenic potential"" for the inhalation route and “inadequate information to assess carcinogenic potential” for the oral route. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 8 x 10-5 mg/m3
Extrapolation Method: Linear extrapolation from the POD ((BMCL10(HED)) associated with 10% extra cancer risk.
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular adenomas and carcinomas (Saito et al. 2013; JPEC, 2010b)"
Ethyl Tertiary Butyl Ether (ETBE),637-92-3,,"(PDF None pp, None)",Not Available,No,None,None,,,Inahlation,,,,,,,Urinary,4 x 10 1,Increased absolute kidney weight in female rats,NOAEL : 1.11 x 103 mg/m3,30,Medium,Suggestive evidence of carcinogenic potential (Inhalation route),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under EPA’s Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), ethyl tertiary butyl ether has “suggestive evidence of carcinogenic potential"" for the inhalation route and “inadequate information to assess carcinogenic potential” for the oral route. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 8 x 10-5 mg/m3
Extrapolation Method: Linear extrapolation from the POD ((BMCL10(HED)) associated with 10% extra cancer risk.
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular adenomas and carcinomas (Saito et al. 2013; JPEC, 2010b)"
Ethylbenzene,100-41-4,Mar-01-1991,"(PDF 21 pp, 148 K)",Not Available,No,Developmental; Hepatic; Urinary,None,,,Oral,Hepatic; Urinary,1 x 10 -1,Liver and kidney toxicity,NOEL: 9.71 x 101 mg/kg-day,1000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Nonclassifiable due to lack of animal bioassays and human studies. This may be a synopsis of the full weight-of-evidence narrative.,,
Ethylbenzene,100-41-4,Mar-01-1991,"(PDF 21 pp, 148 K)",Not Available,No,Developmental; Hepatic; Urinary,None,,,Inahlation,,,,,,,Developmental,1,Developmental toxicity,NOAEL (HEC): 4.34 x 102 mg/m3,300,Low,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Nonclassifiable due to lack of animal bioassays and human studies. This may be a synopsis of the full weight-of-evidence narrative.,,
Ethylene diamine,107-15-3,Nov-01-1992,"(PDF 9 pp, 105 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate animal data. This may be a synopsis of the full weight-of-evidence narrative.,,
Ethylene glycol,107-21-1,Sep-30-1987,"(PDF 8 pp, 92 K)",Not Available,Yes,Urinary,None,,,Oral,Urinary,2,Kidney toxicity,NOAEL: 2.00 x 102 mg/kg-day,100,High,,,,,,,,,,,
Ethylene glycol monobutyl ether (EGBE) (2-Butoxyethanol),111-76-2,Mar-31-2010,"(PDF 31 pp, 297 K)","(PDF 206 pp, 3.65 M)",No,Hematologic,None,,,Oral,Hematologic,1 x 10 -1,Hemosiderin deposition in the liver,BMDL (HED): 1.4 mg/kg-day,10,Medium/High,,,,,,,Not likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), EGBE is deemed ""not likely to be carcinogenic to humans"" at environmental concentrations at or below the RfD and RfC, based on laboratory animal evidence, mode-of-action information, and limited human study information. This may be a synopsis of the full weight-of-evidence narrative.",,
Ethylene glycol monobutyl ether (EGBE) (2-Butoxyethanol),111-76-2,Mar-31-2010,"(PDF 31 pp, 297 K)","(PDF 206 pp, 3.65 M)",No,Hematologic,None,,,Inahlation,,,,,,,Hematologic,1.6,Hemosiderin deposition in the liver,BMCL (HEC): 16 mg/m3,10,Medium/High,Not likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), EGBE is deemed ""not likely to be carcinogenic to humans"" at environmental concentrations at or below the RfD and RfC, based on laboratory animal evidence, mode-of-action information, and limited human study information. This may be a synopsis of the full weight-of-evidence narrative.",,
Ethylene oxide,75-21-8,Dec-16-2016,"(PDF 9 pp, 207 K)","(PDF 228 pp, 1.84 M)Ethylene oxide Support Documents",No,None,Immune; Reproductive,,,,,,,,,,,,,,,,Carcinogenic to humans (Inhalation route),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005), ethylene oxide is ""carcinogenic to humans"" by the inhalation route of exposure, based on (1) strong, but less than conclusive on its own, epidemiological evidence of lymphohematopoietic cancers and breast cancer in EtO exposed workers, (2) extensive evidence of carcinogenicity in laboratory animals, including lymphohematopoietic cancers in rats and mice and mammary carcinomas in mice following inhalation exposure, (3) clear evidence that EtO is genotoxic and sufficient weight of evidence to support a mutagenic mode of action for EtO carcinogenicity, and (4) strong evidence that the key precursor events are anticipated to occur in humans and progress to tumors, including evidence of chromosome damage in humans exposed to EtO. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 3 x 10-3 per µg/m3
Extrapolation Method: Linear extrapolation. Two-piece linear spline model with knot at 1,600 ppm × days for lymphoid cancer. Two-piece linear spline model with knot at 5,750 ppm × days for breast cancer incidence in females. POD of 1% extra risk was used for both cancer types.
Tumor site(s): Immune, Reproductive
Tumor type(s): Lymphoid cancer, (female) breast cancer (Steenland et al., 2003, 2004)
Note: ADAF -- EPA has concluded that ethylene oxide is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the inhalation unit risk is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure."
Ethylene thiourea (ETU),96-45-7,May-01-1991,"(PDF 10 pp, 105 K)",Not Available,Yes,Endocrine,None,,,Oral,Endocrine,8 x 10 -5,Increased incidence of thyroid hyperplasia,LOAEL: 2.5 x 10-1 mg/kg-day,3000,Medium,,,,,,,,,,,
Ethyleneimine,151-56-4,Apr-01-1992,"(PDF 4 pp, 84 K)",Not Available,Yes,None,None,,archive,,,,,,,,,,,,,,,,,,
Ethylphthalyl ethylglycolate (EPEG),84-72-0,Jan-31-1987,"(PDF 6 pp, 86 K)",Not Available,No,Urinary,None,,,Oral,Urinary,3,Kidney damage and reduced lifespan,NOEL: 2.50 x 102 mg/kg-day,100,Low,,,,,,,,,,,
Express,101200-48-0,Jan-01-1989,"(PDF 8 pp, 91 K)",Not Available,Yes,Urinary,None,pesticide,,Oral,Urinary; Other,8 x 10 -3,Elevated serum bilirubin and AST levels; increased urinary volume,NOEL: 7.9 x 10-1 mg/kg-day,100,High,,,,,,,,,,,
Fenamiphos,22224-92-6,Sep-30-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Nervous,None,pesticide,,Oral,Nervous,2.5 x 10 -4,ChE inhibition,NOEL: 2.5 x 10-2 mg/kg-day,100,High,,,,,,,,,,,
Fluometuron,2164-17-2,Sep-30-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,1.3 x 10 -2,No adverse effects,NOAEL: 1.25 x 101 mg/kg-day,1000,Low,,,,,,,,,,,
Fluoranthene,206-44-0,Dec-01-1990,"(PDF 12 pp, 109 K)",Not Available,No,Hepatic; Urinary,None,,,Oral,Hepatic; Urinary,4 x 10 -2,Nephropathy; increased liver weights; hematological alterations; and clinical effects,NOAEL: 1.25 x 102 mg/kg-day,3000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from animal bioassays. This may be a synopsis of the full weight-of-evidence narrative.,,
Fluorene,86-73-7,Dec-01-1990,"(PDF 11 pp, 106 K)",Not Available,No,Hematologic,None,,,Oral,Hematologic,4 x 10 -2,Decreased RBC; packed cell volume and hemoglobin,NOAEL: 1.25 x 102 mg/kg-day,3000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from animal bioassays. This may be a synopsis of the full weight-of-evidence narrative.,,
Fluorine (soluble fluoride),7782-41-4,Jan-31-1987,"(PDF 7 pp, 90 K)",Not Available,Yes,Gastrointestinal,None,,,Oral,Gastrointestinal,6 x 10 -2,Objectionable dental fluorosis; a cosmetic effect,NOAEL: 6 x 10-2 mg/kg-day,1,High,,,,,,,,,,,
Fluridone,59756-60-4,Aug-22-1988,"(PDF 7 pp, 89 K)",Not Available,Yes,Ocular; Reproductive; Urinary,None,pesticide,,Oral,Reproductive; Urinary; Ocular; Other,8 x 10 -2,Glomerulonephritis; atrophic testes; eye keratitis decreased body weight and organ weights,NOEL: 8 mg/kg-day,100,High,,,,,,,,,,,
Flurprimidol,56425-91-3,Jul-01-1989,"(PDF 9 pp, 96 K)",Not Available,Yes,Hepatic,None,pesticide,archive,Oral,Hepatic; Other,2 x 10 -2,Increased incidence of hepatocellular changes including fatty change and vacuolation (M) increased susceptibility to stress factors (F),NOEL: 1.8 mg/kg-day,100,High,,,,,,,,,,,
Flutolanil,66332-96-5,May-01-1989,"(PDF 7 pp, 90 K)",Not Available,Yes,Hepatic; Reproductive,None,pesticide,archive,Oral,Reproductive; Hepatic; Other,6 x 10 -2,Decreased body weight and body weight gains in both doses increased liver weights at high dose,LEL: 6.37 x 101 mg/kg-day,1000,Medium,,,,,,,,,,,
Fluvalinate,69409-94-5,Jun-30-1988,"(PDF 7 pp, 88 K)",Not Available,Yes,Dermal,None,pesticide,,Oral,Dermal; Other,1 x 10 -2,Decreases in body weight gain increase in plantar ulcer (females),NOEL: 1 mg/kg-day,100,High,,,,,,,,,,,
Folpet,133-07-3,Aug-22-1988,"(PDF 13 pp, 115 K)",Not Available,Yes,Hepatic,Gastrointestinal,pesticide,archive,Oral,Hepatic; Other,1 x 10 -1,Decreased body weight gain; altered serum chemistry parameters (decreased serum cholesterol; total protein; and serum albumin and globulin levels),NOEL: 1.0 x 101 mg/kg-day,100,High,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Folpet has induced carcinoma and adenoma of the duodenum (an unusual site) in both sexes of both CD-1 and B6C3F1 mice. Folpet is also mutagenic in several in vitro assays and is a structural analogue of captan, which has been shown to induce carcinoma in the duodenum of two mouse strains. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3.5 x 10-3 per mg/kg-day
Drinking Water Unit Risk: 1.0 x 10-7 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Gastrointestinal
Tumor type(s): Digestive tract tumors (adenoma and/ or adenocarcinoma) (Chevron, 1982)",
Fomesafen,72178-02-0,Aug-22-1988,"(PDF 8 pp, 95 K)",Not Available,Yes,None,Hepatic,pesticide,archive,,,,,,,,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Fomesafen produced liver adenomas and carcinomas in both sexes of Charles River CD-1 mice. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 1.9 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 5.4 x 10-6 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Liver adenomas and carcinomas (Huntingdon, 1985)",
Fonofos,944-22-9,Mar-31-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Hepatic; Nervous,None,pesticide,,Oral,Nervous; Hepatic,2 x 10 -3,Cholinesterase inhibition; cholinergic symptoms; and increased liver weight,NOEL: 2 x 10-1 mg/kg-day,100,Medium,,,,,,,,,,,
Formaldehyde,50-00-0,Sep-01-1990,"(PDF 17 pp, 133 K)",Not Available                                                                            Formaldehyde Support Documents,No,Gastrointestinal; Urinary,Respiratory,,,Oral,Urinary; Gastrointestinal; Other,2 x 10 -1,Reduced weight gain; histopathology in rats,NOAEL: 1.5 x 101 mg/kg-day,100,Medium,,,,,,,B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on limited evidence in humans, and sufficient evidence in animals. Human data include nine studies that show statistically significant associations between site-specific respiratory neoplasms and exposure to formaldehyde or formaldehyde-containing products. An increased incidence of nasal squamous cell carcinomas was observed in long-term inhalation studies in rats and in mice. The classification is supported by in vitro genotoxicity data and formaldehyde's structural relationships to other carcinogenic aldehydes such as acetaldehyde. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 1.3 x 10-5 per µg/m3
Extrapolation Method: Linearized multistage procedure, additional risk
Tumor site(s): Respiratory
Tumor type(s): Squamous cell carcinoma (Kerns et al., 1983)"
Formic acid,64-18-6,Dec-01-1990,"(PDF 4 pp, 77 K)",Not Available,Yes,None,None,,archive,,,,,,,,,,,,,,,,,,
Fosetyl-al,39148-24-8,Aug-22-1988,"(PDF 11 pp, 105 K)",Not Available,Yes,Reproductive,None,pesticide,archive,Oral,Reproductive,3,Slight testicular degeneration,NOEL: 2.50 x 102 mg/kg-day,100,High,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Increased incidence of urinary bladder tumors (adenomas/carcinomas combined) in male rats. No increase in tumor incidence occurred in female rats or in mice of either sex. This may be a synopsis of the full weight-of-evidence narrative.,,
Furan,110-00-9,Jan-31-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Hepatic,None,,,Oral,Hepatic,1 x 10 -3,Hepatic lesions,NOAEL: 1.4 mg/kg-day,1000,Low,,,,,,,,,,,
Furfural,98-01-1,Sep-07-1988,"(PDF 7 pp, 88 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,3 x 10 -3,Mild hepatocellular vacuolization,LOAEL: 7.9 mg/kg-day,3000,Low,,,,,,,,,,,
Furmecyclox,60568-05-0,Sep-07-1988,"(PDF 8 pp, 94 K)",Not Available,Yes,None,Hepatic,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Dose-related increased incidence of neoplastic nodules, carcinomas and combined neoplasic nodules/carcinomas in the liver of female rats and increased incidence of liver nodules and carcinomas and urothelial tumors of the bladder in male rats. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 3.0 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 8.6 x 10-7 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Combined liver nodules and carcinomas (BASF Wyandotte, 1984a)",
Glufosinate-ammonium,77182-82-2,Sep-30-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,Urinary,None,pesticide,archive,Oral,Urinary,4 x 10 -4,Increased absolute and relative kidney weights in males,NOEL: 4 x 10-1 mg/kg-day,1000,Medium,,,,,,,,,,,
Glycidaldehyde,765-34-4,Aug-01-1991,"(PDF 15 pp, 121 K)",Not Available,No,Endocrine; Hematologic; Urinary,None,,,Oral,Endocrine; Urinary; Hematologic; Other,4 x 10 -4,Weight gain retardation; enlarged adrenals; hydropic renal pelvis and hematopoietic effects,NOAEL: 1.09 mg/kg-day,3000,Low,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on no human data and an increased incidence of malignant tumors in rats and mice following subcutaneous injection of glycidaldehyde and of skin carcinomas following dermal application to mice. Glycidaldehyde shows mutagenic activity in many assay systems and is known to be highly reactive because of the epoxide and the aldehyde groups. A number of structurally related epoxide compounds are also carcinogenic in experimental animals, including the analogues glycidol and propylene oxide. This may be a synopsis of the full weight-of-evidence narrative.",,
Glyphosate,1071-83-6,Oct-01-1989,"(PDF 10 pp, 102 K)",Not Available,No,Developmental; Urinary,None,pesticide,,Oral,Developmental; Urinary,1 x 10 -1,Increased incidence of renal tubular dilation in F3b offspring,NOEL: 1.0 x 101 mg/kg-day,100,High,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Inadequate evidence for oncogenicity in animals. Glyphosate was originally classified as C, possible human carcinogen, on the basis of increased incidence of renal tumors in mice. Following independent review of the slides the classification was changed to D on the basis of a lack of statistical significance and uncertainty as to a treatment-related effect. This may be a synopsis of the full weight-of-evidence narrative.",,
Haloxyfop-methyl,69806-40-2,May-01-1990,"(PDF 12 pp, 115 K)",Not Available,Yes,Reproductive; Urinary,None,pesticide,,Oral,Reproductive; Urinary,5 x 10 -5,Reduced relative kidney weights in F0; F1; and F2b adults; reduced fertility in the F1/F2b generation,NOEL: 5 x 10-3 mg/kg-day,100,High,,,,,,,,,,,
Harmony,79277-27-3,Sep-26-1988,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,archive,Oral,Other,1.3 x 10 -2,Reduced body weight gains in males; reduced serum sodium in males and females,NOEL: 1.25 mg/kg-day,100,High,,,,,,,,,,,
Heptachlor,76-44-8,Sep-30-1987,"(PDF 14 pp, 122 K)",Not Available,Yes,Hepatic,Hepatic,pesticide,,Oral,Hepatic,5 x 10 -4,Liver weight increases in males,NOEL: 1.5 x 10-1 mg/kg-day,300,Low,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Inadequate human data, but sufficient evidence exist from studies in which benign and malignant liver tumors were induced in three strains of mice of both sexes. Several structurally related compounds are liver carcinogens. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 4.5 per mg/kg-day
Drinking Water Unit Risk: 1.3 x 10-4 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinomas (Davis, 1965; NCI, 1977)","Inhalation Unit Risk: 1.3 x 10-3 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinomas (Davis, 1965; NCI, 1977)"
Heptachlor epoxide,1024-57-3,Sep-30-1987,"(PDF 14 pp, 121 K)",Not Available,Yes,Hepatic,Hepatic,pesticide,,Oral,Hepatic,1.3 x 10 -5,Increased liver-to-body weight ratio in both males and females,LEL: 1.25 x 10-2 mg/kg-day,1000,Low,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Sufficient evidence exists from rodent studies in which liver carcinomas were induced in two strains of mice of both sexes and in CFN female rats. Several structurally related compounds are liver carcinogens. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 9.1 per mg/kg-day
Drinking Water Unit Risk: 2.6 x 10-4 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinomas (Davis, 1965; Velsicol, 1973)","Inhalation Unit Risk: 2.6 x 10-3 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Hepatocellular carcinomas (Davis, 1965; Velsicol, 1973)"
n-Heptane,142-82-5,Jan-01-1993,"(PDF 6 pp, 89 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data available. This may be a synopsis of the full weight-of-evidence narrative.,,
Hexabromobenzene,87-82-1,Mar-31-1987,"(PDF 7 pp, 90 K)",Not Available,No,Hepatic,None,,,Oral,Hepatic,2 x 10 -3,Induced serum carboxylesterase activity; increased relative liver weight; increased liver porphyrins,NOAEL: 2 mg/kg-day,1000,Low,,,,,,,,,,,
Hexabromocyclododecane (HBCD),3194-55-6,,"(PDF None pp, None)",Not Available,No,None,None,,,,,,,,,,,,,,,,,,,,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE-153)",68631-49-2,Jun-30-2008,"(PDF 15 pp, 166 K)","(PDF 66 pp, 301 K)",No,Nervous,None,,,Oral,Nervous,2 x 10 -4,Neurobehavioral effects,NOAEL: 0.45 mg/kg-day,3000,Low,,,,,,,Inadequate information to assess carcinogenic potential,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","Under the Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005a), there is ""inadequate information to assess the carcinogenic potential"" of 2,2',4,4',5,5'-hexabromodiphenyl ether. This may be a synopsis of the full weight-of-evidence narrative.",,
